ENV,STATE,CITY,PED,FAR,FC,HYB,YEAR,REP,FS,CC,WRT,Density,CI,CD,PER,YIELD
Gruver2019,ILLINOIS,Macomb,17.2B241,Gruver,JG1,ORG4,2019,2,Animal,Mixed,Low,Low,High,High,Absent,169.5
Gruver2019,ILLINOIS,Macomb,PHHB9*PHZ51,Gruver,JG1,UIUC4,2019,2,Animal,Mixed,Low,Low,High,High,Absent,137.6
Gruver2019,ILLINOIS,Macomb,PHHB9*PHW30,Gruver,JG1,UIUC3,2019,2,Animal,Mixed,Low,Medium,High,High,Absent,182.4
Gruver2019,ILLINOIS,Macomb,59R5,Gruver,JG1,CHECK1,2019,2,Animal,Mixed,Low,Medium,High,High,Absent,184.7
Gruver2019,ILLINOIS,Macomb,PHHB9*PHM49,Gruver,JG1,UIUC1,2019,2,Animal,Mixed,Low,Medium,High,High,Absent,148.6
Doonan2019,ILLINOIS,Reynolds,PHHB9*PHZ51,Doonan,TD,UIUC4,2019,2,Green,Mixed,High,High,High,Low,Absent,113.8
Doonan2019,ILLINOIS,Reynolds,PHHB9*PHR63,Doonan,TD,UIUC2,2019,2,Green,Mixed,High,High,High,Low,Absent,147.4
Doonan2019,ILLINOIS,Reynolds,PHHB9*PHW30,Doonan,TD,UIUC3,2019,2,Green,Mixed,High,High,High,Low,Absent,150.8
Doonan2019,ILLINOIS,Reynolds,PHHB9*PHM49,Doonan,TD,UIUC1,2019,2,Green,Mixed,High,High,High,Low,Absent,111.9
Doonan2019,ILLINOIS,Reynolds,17.461,Doonan,TD,ORG1,2019,2,Green,Mixed,High,High,High,Low,Absent,94.7
Doonan2019,ILLINOIS,Reynolds,17.2B241,Doonan,TD,ORG4,2019,2,Green,Mixed,High,High,High,Low,Absent,33.5
Doonan2019,ILLINOIS,Reynolds,PHW52*LH185,Doonan,TD,UIUC7,2019,2,Green,Mixed,High,High,High,Low,Absent,53.4
Doonan2019,ILLINOIS,Reynolds,59R5,Doonan,TD,CHECK1,2019,2,Green,Mixed,High,High,High,Low,Absent,61.4
Smith2020,ILLINOIS,Peoria,PHHB9*PHR63,Smith,AS1,UIUC2,2020,1,Mix,Legume,Low,Low,High,High,Absent,195.7
Smith2020,ILLINOIS,Peoria,PHHB9*PHZ51,Smith,AS1,UIUC4,2020,1,Mix,Legume,Low,Low,High,High,Absent,176.5
Smith2020,ILLINOIS,Peoria,PHHB9*PHW30,Smith,AS1,UIUC3,2020,1,Mix,Legume,Low,Low,High,High,Absent,182.3
Smith2020,ILLINOIS,Peoria,PHHB9*PHM49,Smith,AS1,UIUC1,2020,1,Mix,Legume,Low,Low,High,High,Absent,161.4
Smith2020,ILLINOIS,Peoria,PHW52*LH185,Smith,AS1,UIUC7,2020,1,Mix,Legume,Low,Low,High,High,Absent,131.7
Smith2020,ILLINOIS,Peoria,17.2B24,Smith,AS1,ORG4,2020,1,Mix,Legume,Low,Low,High,High,Absent,125.6
Smith2020,ILLINOIS,Peoria,17.461,Smith,AS1,ORG1,2020,1,Mix,Legume,Low,Low,High,High,Absent,178.7
Smith2020,ILLINOIS,Peoria,59R5,Smith,AS1,CHECK1,2020,1,Mix,Legume,Low,Low,High,High,Absent,207.4
Ambriole2020,INDIANA,Roanoke,PHHB9*PHR63,Ambriole,AA2,UIUC2,2020,1,Mix,Mixed,Moderate,Low,High,High,Absent,58.2
Ambriole2020,INDIANA,Roanoke,59R5,Ambriole,AA2,CHECK1,2020,1,Mix,Mixed,Moderate,Low,High,High,Absent,78.6
Ambriole2020,INDIANA,Roanoke,17.461,Ambriole,AA2,ORG1,2020,1,Mix,Mixed,Moderate,Low,High,High,Absent,53.6
Ambriole2020,INDIANA,Roanoke,17.2B24,Ambriole,AA2,ORG4,2020,1,Mix,Mixed,Moderate,Low,High,High,Absent,94
Ambriole2020,INDIANA,Roanoke,PHHB9*PHZ51,Ambriole,AA2,UIUC4,2020,1,Mix,Mixed,Moderate,Low,High,High,Absent,178.7
Ambriole2020,INDIANA,Roanoke,PHW52*LH185,Ambriole,AA2,UIUC7,2020,1,Mix,Mixed,Moderate,Low,High,High,Absent,124.2
Ambriole2020,INDIANA,Roanoke,PHHB9*PHM49,Ambriole,AA2,UIUC1,2020,1,Mix,Mixed,Moderate,Low,High,High,Absent,172.3
Ambriole2020,INDIANA,Roanoke,PHHB9*PHW30,Ambriole,AA2,UIUC3,2020,1,Mix,Mixed,Moderate,Low,High,High,Absent,183
Longwell2020,INDIANA,NewLisbon,PHW52*LH185,Longwell,DL1,UIUC7,2020,1,Mix,Legume,Low,Low,Medium,High,Present,99.9
Longwell2020,INDIANA,NewLisbon,17.461,Longwell,DL1,ORG1,2020,1,Mix,Legume,Low,Low,Medium,High,Present,113.7
Longwell2020,INDIANA,NewLisbon,PHHB9*PHW30,Longwell,DL1,UIUC3,2020,1,Mix,Legume,Low,Low,Medium,High,Present,144.2
Longwell2020,INDIANA,NewLisbon,PHHB9*PHM49,Longwell,DL1,UIUC1,2020,1,Mix,Legume,Low,Low,Medium,High,Present,132.9
Longwell2020,INDIANA,NewLisbon,PHHB9*PHZ51,Longwell,DL1,UIUC4,2020,1,Mix,Legume,Low,Low,Medium,High,Present,148.3
Longwell2020,INDIANA,NewLisbon,PHHB9*PHR63,Longwell,DL1,UIUC2,2020,1,Mix,Legume,Low,Low,Medium,High,Present,176.6
Longwell2020,INDIANA,NewLisbon,59R5,Longwell,DL1,CHECK1,2020,1,Mix,Legume,Low,Low,Medium,High,Present,170.1
Longwell2020,INDIANA,NewLisbon,17.2B24,Longwell,DL1,ORG4,2020,1,Mix,Legume,Low,Low,Medium,High,Present,157.2
Bryan2020,INDIANA,Decatur,17.2B24,Bryan,EB1,ORG4,2020,1,Mix,Grass,High,Low,Medium,High,Present,147.9
Bryan2020,INDIANA,Decatur,PHHB9*PHR63,Bryan,EB1,UIUC2,2020,1,Mix,Grass,High,Low,Medium,High,Present,140.1
Bryan2020,INDIANA,Decatur,PHHB9*PHM49,Bryan,EB1,UIUC1,2020,1,Mix,Grass,High,Low,Medium,High,Present,175.8
Bryan2020,INDIANA,Decatur,PHHB9*PHW30,Bryan,EB1,UIUC3,2020,1,Mix,Grass,High,Low,Medium,High,Present,178.2
Bryan2020,INDIANA,Decatur,PHHB9*PHZ51,Bryan,EB1,UIUC4,2020,1,Mix,Grass,High,Low,Medium,High,Present,153.7
Bryan2020,INDIANA,Decatur,59R5,Bryan,EB1,CHECK1,2020,1,Mix,Grass,High,Low,Medium,High,Present,205.6
Bryan2020,INDIANA,Decatur,PHW52*LH185,Bryan,EB1,UIUC7,2020,1,Mix,Grass,High,Low,Medium,High,Present,158.8
Bryan2020,INDIANA,Decatur,17.461,Bryan,EB1,ORG1,2020,1,Mix,Grass,High,Low,Medium,High,Present,157.1
Wilken2020,ILLINOIS,Wellington,17.2B24,Wilken,HW1,ORG4,2020,1,Mix,Legume,Moderate,Medium,High,Low,Absent,119.1
Wilken2020,ILLINOIS,Wellington,PHW52*LH185,Wilken,HW1,UIUC7,2020,1,Mix,Legume,Moderate,Medium,High,Low,Absent,104
Wilken2020,ILLINOIS,Wellington,PHHB9*PHM49,Wilken,HW1,UIUC1,2020,1,Mix,Legume,Moderate,Medium,High,Low,Absent,144
Wilken2020,ILLINOIS,Wellington,59R5,Wilken,HW1,CHECK1,2020,1,Mix,Legume,Moderate,Medium,High,Low,Absent,186.4
Wilken2020,ILLINOIS,Wellington,PHHB9*PHR63,Wilken,HW1,UIUC2,2020,1,Mix,Legume,Moderate,Medium,High,Low,Absent,157.6
Wilken2020,ILLINOIS,Wellington,PHHB9*PHW30,Wilken,HW1,UIUC3,2020,1,Mix,Legume,Moderate,Medium,High,Low,Absent,141
Wilken2020,ILLINOIS,Wellington,17.461,Wilken,HW1,ORG1,2020,1,Mix,Legume,Moderate,Medium,High,Low,Absent,127.1
Wilken2020,ILLINOIS,Wellington,PHHB9*PHZ51,Wilken,HW1,UIUC4,2020,1,Mix,Legume,Moderate,Medium,High,Low,Absent,155.5
Gruver2020,ILLINOIS,Macomb,PHHB9*PHZ51,Gruver,JG2,UIUC4,2020,1,Mix,Mixed,Low,Low,High,High,Absent,162.5
Gruver2020,ILLINOIS,Macomb,17.2B24,Gruver,JG2,ORG4,2020,1,Mix,Mixed,Low,Low,High,High,Absent,137.2
Gruver2020,ILLINOIS,Macomb,PHHB9*PHR63,Gruver,JG2,UIUC2,2020,1,Mix,Mixed,Low,Low,High,High,Absent,170.4
Gruver2020,ILLINOIS,Macomb,17.461,Gruver,JG2,ORG1,2020,1,Mix,Mixed,Low,Low,High,High,Absent,128.8
Gruver2020,ILLINOIS,Macomb,59R5,Gruver,JG2,CHECK1,2020,1,Mix,Mixed,Low,Low,High,High,Absent,156.5
Gruver2020,ILLINOIS,Macomb,PHW52*LH185,Gruver,JG2,UIUC7,2020,1,Mix,Mixed,Low,Low,High,High,Absent,120.5
Gruver2020,ILLINOIS,Macomb,PHHB9*PHM49,Gruver,JG2,UIUC1,2020,1,Mix,Mixed,Low,Low,High,High,Absent,174.9
Gruver2020,ILLINOIS,Macomb,PHHB9*PHW30,Gruver,JG2,UIUC3,2020,1,Mix,Mixed,Low,Low,High,High,Absent,170.4
Doonan2020,ILLINOIS,Reynolds,PHHB9*PHW30,Doonan,TD1,UIUC3,2020,1,Green,Legume,Moderate,High,Low,Low,Absent,189.4
Doonan2020,ILLINOIS,Reynolds,PHHB9*PHM49,Doonan,TD1,UIUC1,2020,1,Green,Legume,Moderate,High,Low,Low,Absent,177
Doonan2020,ILLINOIS,Reynolds,17.461,Doonan,TD1,ORG1,2020,1,Green,Legume,Moderate,High,Low,Low,Absent,81.7
Doonan2020,ILLINOIS,Reynolds,17.2B24,Doonan,TD1,ORG4,2020,1,Green,Legume,Moderate,High,Low,Low,Absent,89.4
Doonan2020,ILLINOIS,Reynolds,PHHB9*PHR63,Doonan,TD1,UIUC2,2020,1,Green,Legume,Moderate,High,Low,Low,Absent,146.7
Doonan2020,ILLINOIS,Reynolds,59R5,Doonan,TD1,CHECK1,2020,1,Green,Legume,Moderate,High,Low,Low,Absent,155.8
Doonan2020,ILLINOIS,Reynolds,PHW52*LH185,Doonan,TD1,UIUC7,2020,1,Green,Legume,Moderate,High,Low,Low,Absent,96.2
Doonan2020,ILLINOIS,Reynolds,PHHB9*PHZ51,Doonan,TD1,UIUC4,2020,1,Green,Legume,Moderate,High,Low,Low,Absent,169
Smith2020,ILLINOIS,Peoria,PHHB9*PHR63,Smith,AS1,UIUC2,2020,2,Mix,Legume,Low,Low,High,High,Absent,177.9
Smith2020,ILLINOIS,Peoria,PHHB9*PHZ51,Smith,AS1,UIUC4,2020,2,Mix,Legume,Low,Low,High,High,Absent,176
Smith2020,ILLINOIS,Peoria,PHHB9*PHW30,Smith,AS1,UIUC3,2020,2,Mix,Legume,Low,Low,High,High,Absent,196.2
Smith2020,ILLINOIS,Peoria,PHHB9*PHM49,Smith,AS1,UIUC1,2020,2,Mix,Legume,Low,Low,High,High,Absent,134
Smith2020,ILLINOIS,Peoria,PHW52*LH185,Smith,AS1,UIUC7,2020,2,Mix,Legume,Low,Low,High,High,Absent,164.7
Smith2020,ILLINOIS,Peoria,17.2B24,Smith,AS1,ORG4,2020,2,Mix,Legume,Low,Low,High,High,Absent,144
Smith2020,ILLINOIS,Peoria,17.461,Smith,AS1,ORG1,2020,2,Mix,Legume,Low,Low,High,High,Absent,175.1
Smith2020,ILLINOIS,Peoria,59R5,Smith,AS1,CHECK1,2020,2,Mix,Legume,Low,Low,High,High,Absent,199.4
Ambriole2020,INDIANA,Roanoke,PHHB9*PHR63,Ambriole,AA2,UIUC2,2020,2,Mix,Mixed,Moderate,Low,High,High,Absent,70.1
Ambriole2020,INDIANA,Roanoke,59R5,Ambriole,AA2,CHECK1,2020,2,Mix,Mixed,Moderate,Low,High,High,Absent,65.7
Ambriole2020,INDIANA,Roanoke,17.461,Ambriole,AA2,ORG1,2020,2,Mix,Mixed,Moderate,Low,High,High,Absent,69.7
Ambriole2020,INDIANA,Roanoke,17.2B24,Ambriole,AA2,ORG4,2020,2,Mix,Mixed,Moderate,Low,High,High,Absent,109.4
Ambriole2020,INDIANA,Roanoke,PHHB9*PHZ51,Ambriole,AA2,UIUC4,2020,2,Mix,Mixed,Moderate,Low,High,High,Absent,179.5
Ambriole2020,INDIANA,Roanoke,PHW52*LH185,Ambriole,AA2,UIUC7,2020,2,Mix,Mixed,Moderate,Low,High,High,Absent,156.1
Ambriole2020,INDIANA,Roanoke,PHHB9*PHM49,Ambriole,AA2,UIUC1,2020,2,Mix,Mixed,Moderate,Low,High,High,Absent,146.3
Ambriole2020,INDIANA,Roanoke,PHHB9*PHW30,Ambriole,AA2,UIUC3,2020,2,Mix,Mixed,Moderate,Low,High,High,Absent,173.7
Longwell2020,INDIANA,NewLisbon,PHW52*LH185,Longwell,DL1,UIUC7,2020,2,Mix,Legume,Low,Low,Medium,High,Present,107.8
Longwell2020,INDIANA,NewLisbon,17.461,Longwell,DL1,ORG1,2020,2,Mix,Legume,Low,Low,Medium,High,Present,89.4
Longwell2020,INDIANA,NewLisbon,PHHB9*PHW30,Longwell,DL1,UIUC3,2020,2,Mix,Legume,Low,Low,Medium,High,Present,131.9
Longwell2020,INDIANA,NewLisbon,PHHB9*PHM49,Longwell,DL1,UIUC1,2020,2,Mix,Legume,Low,Low,Medium,High,Present,160.7
Longwell2020,INDIANA,NewLisbon,PHHB9*PHZ51,Longwell,DL1,UIUC4,2020,2,Mix,Legume,Low,Low,Medium,High,Present,152.1
Longwell2020,INDIANA,NewLisbon,PHHB9*PHR63,Longwell,DL1,UIUC2,2020,2,Mix,Legume,Low,Low,Medium,High,Present,186.2
Longwell2020,INDIANA,NewLisbon,59R5,Longwell,DL1,CHECK1,2020,2,Mix,Legume,Low,Low,Medium,High,Present,151.5
Longwell2020,INDIANA,NewLisbon,17.2B24,Longwell,DL1,ORG4,2020,2,Mix,Legume,Low,Low,Medium,High,Present,184.8
Bryan2020,INDIANA,Decatur,17.2B24,Bryan,EB1,ORG4,2020,2,Mix,Grass,High,Low,Medium,High,Present,165.7
Bryan2020,INDIANA,Decatur,PHHB9*PHR63,Bryan,EB1,UIUC2,2020,2,Mix,Grass,High,Low,Medium,High,Present,202.4
Bryan2020,INDIANA,Decatur,PHHB9*PHM49,Bryan,EB1,UIUC1,2020,2,Mix,Grass,High,Low,Medium,High,Present,168.4
Bryan2020,INDIANA,Decatur,PHHB9*PHW30,Bryan,EB1,UIUC3,2020,2,Mix,Grass,High,Low,Medium,High,Present,178.4
Bryan2020,INDIANA,Decatur,PHHB9*PHZ51,Bryan,EB1,UIUC4,2020,2,Mix,Grass,High,Low,Medium,High,Present,163.2
Bryan2020,INDIANA,Decatur,59R5,Bryan,EB1,CHECK1,2020,2,Mix,Grass,High,Low,Medium,High,Present,195
Bryan2020,INDIANA,Decatur,PHW52*LH185,Bryan,EB1,UIUC7,2020,2,Mix,Grass,High,Low,Medium,High,Present,180.6
Bryan2020,INDIANA,Decatur,17.461,Bryan,EB1,ORG1,2020,2,Mix,Grass,High,Low,Medium,High,Present,148.9
Wilken2020,ILLINOIS,Wellington,17.2B24,Wilken,HW1,ORG4,2020,2,Mix,Legume,Moderate,Medium,High,Low,Absent,104.3
Wilken2020,ILLINOIS,Wellington,PHW52*LH185,Wilken,HW1,UIUC7,2020,2,Mix,Legume,Moderate,Medium,High,Low,Absent,151.9
Wilken2020,ILLINOIS,Wellington,PHHB9*PHM49,Wilken,HW1,UIUC1,2020,2,Mix,Legume,Moderate,Medium,High,Low,Absent,170.6
Wilken2020,ILLINOIS,Wellington,59R5,Wilken,HW1,CHECK1,2020,2,Mix,Legume,Moderate,Medium,High,Low,Absent,195.1
Wilken2020,ILLINOIS,Wellington,PHHB9*PHR63,Wilken,HW1,UIUC2,2020,2,Mix,Legume,Moderate,Medium,High,Low,Absent,166
Wilken2020,ILLINOIS,Wellington,PHHB9*PHW30,Wilken,HW1,UIUC3,2020,2,Mix,Legume,Moderate,Medium,High,Low,Absent,112.7
Wilken2020,ILLINOIS,Wellington,17.461,Wilken,HW1,ORG1,2020,2,Mix,Legume,Moderate,Medium,High,Low,Absent,117.3
Wilken2020,ILLINOIS,Wellington,PHHB9*PHZ51,Wilken,HW1,UIUC4,2020,2,Mix,Legume,Moderate,Medium,High,Low,Absent,151.5
Gruver2020,ILLINOIS,Macomb,PHHB9*PHZ51,Gruver,JG2,UIUC4,2020,2,Mix,Mixed,Low,Low,High,High,Absent,137.7
Gruver2020,ILLINOIS,Macomb,17.2B24,Gruver,JG2,ORG4,2020,2,Mix,Mixed,Low,Low,High,High,Absent,124.6
Gruver2020,ILLINOIS,Macomb,PHHB9*PHR63,Gruver,JG2,UIUC2,2020,2,Mix,Mixed,Low,Low,High,High,Absent,177.8
Gruver2020,ILLINOIS,Macomb,17.461,Gruver,JG2,ORG1,2020,2,Mix,Mixed,Low,Low,High,High,Absent,143.4
Gruver2020,ILLINOIS,Macomb,59R5,Gruver,JG2,CHECK1,2020,2,Mix,Mixed,Low,Low,High,High,Absent,184.4
Gruver2020,ILLINOIS,Macomb,PHW52*LH185,Gruver,JG2,UIUC7,2020,2,Mix,Mixed,Low,Low,High,High,Absent,134.5
Gruver2020,ILLINOIS,Macomb,PHHB9*PHM49,Gruver,JG2,UIUC1,2020,2,Mix,Mixed,Low,Low,High,High,Absent,133.7
Gruver2020,ILLINOIS,Macomb,PHHB9*PHW30,Gruver,JG2,UIUC3,2020,2,Mix,Mixed,Low,Low,High,High,Absent,157.9
Doonan2020,ILLINOIS,Reynolds,PHHB9*PHW30,Doonan,TD1,UIUC3,2020,2,Green,Legume,Moderate,High,Low,Low,Absent,172.3
Doonan2020,ILLINOIS,Reynolds,PHHB9*PHM49,Doonan,TD1,UIUC1,2020,2,Green,Legume,Moderate,High,Low,Low,Absent,153.3
Doonan2020,ILLINOIS,Reynolds,17.461,Doonan,TD1,ORG1,2020,2,Green,Legume,Moderate,High,Low,Low,Absent,68.7
Doonan2020,ILLINOIS,Reynolds,17.2B24,Doonan,TD1,ORG4,2020,2,Green,Legume,Moderate,High,Low,Low,Absent,87.6
Doonan2020,ILLINOIS,Reynolds,PHHB9*PHR63,Doonan,TD1,UIUC2,2020,2,Green,Legume,Moderate,High,Low,Low,Absent,148.6
Doonan2020,ILLINOIS,Reynolds,59R5,Doonan,TD1,CHECK1,2020,2,Green,Legume,Moderate,High,Low,Low,Absent,149.6
Doonan2020,ILLINOIS,Reynolds,PHW52*LH185,Doonan,TD1,UIUC7,2020,2,Green,Legume,Moderate,High,Low,Low,Absent,133.9
Doonan2020,ILLINOIS,Reynolds,PHHB9*PHZ51,Doonan,TD1,UIUC4,2020,2,Green,Legume,Moderate,High,Low,Low,Absent,164.3
Adsit2018,WISCONSIN,EastTroy,9.2)15 x NG10-2-3-2,Adsit,GA,ORG8,2018,1,Mix,Legume,NA,Medium,Low,Low,Present,89.1
Adsit2018,WISCONSIN,EastTroy,17.461,Adsit,GA,ORG1,2018,1,Mix,Legume,NA,Low,Low,Low,Present,95.5
Adsit2018,WISCONSIN,EastTroy,461.2B24,Adsit,GA,ORG2,2018,1,Mix,Legume,NA,Low,Low,Low,Present,89
Adsit2018,WISCONSIN,EastTroy,461.2B24_Inoc,Adsit,GA,ORG2_Inoc,2018,1,Mix,Legume,NA,Low,Low,Low,Present,92.9
Adsit2018,WISCONSIN,EastTroy,FOS8507,Adsit,GA,CHECK2,2018,1,Mix,Legume,NA,Low,Low,Low,Present,143.5
Adsit2018,WISCONSIN,EastTroy,M9 x NG10-2-3-2,Adsit,GA,ORG18,2018,1,Mix,Legume,NA,Medium,Low,Low,Present,114.7
Adsit2018,WISCONSIN,EastTroy,NG10 x MBS5507,Adsit,GA,ORG19,2018,1,Mix,Legume,NA,Low,Low,Low,Present,95.4
Adsit2018,WISCONSIN,EastTroy,17.2B24,Adsit,GA,ORG4,2018,1,Mix,Legume,NA,Low,Low,Low,Present,127.3
Beiler2018,WISCONSIN,Rewey,NG10 x MBS5507,Beiler,MB,ORG19,2018,1,Mix,Legume,NA,Low,Medium,Low,Present,81.9
Beiler2018,WISCONSIN,Rewey,17.461,Beiler,MB,ORG1,2018,1,Mix,Legume,NA,Low,Medium,Low,Present,126.6
Beiler2018,WISCONSIN,Rewey,17.2B24,Beiler,MB,ORG4,2018,1,Mix,Legume,NA,Low,Medium,Low,Present,116.6
Beiler2018,WISCONSIN,Rewey,FOS8507,Beiler,MB,CHECK2,2018,1,Mix,Legume,NA,Low,Medium,Low,Present,151.5
Beiler2018,WISCONSIN,Rewey,461.2B24,Beiler,MB,ORG2,2018,1,Mix,Legume,NA,Low,Medium,Low,Present,93.4
Beiler2018,WISCONSIN,Rewey,461.2B24_Inoc,Beiler,MB,ORG2_Inoc,2018,1,Mix,Legume,NA,Low,Medium,Low,Present,88.3
Beiler2018,WISCONSIN,Rewey,M9 x NG10-2-3-2,Beiler,MB,ORG18,2018,1,Mix,Legume,NA,Low,Medium,Low,Present,52.2
Beiler2018,WISCONSIN,Rewey,9.2)15 x NG10-2-3-2,Beiler,MB,ORG8,2018,1,Mix,Legume,NA,Low,Medium,Low,Present,55.4
Dahnert2018,WISCONSIN,FortAtkinson,9.2)15 x NG10-2-3-2,Dahnert,DA,ORG8,2018,1,Green,Mixed,NA,Low,Medium,Low,Absent,38.9
Dahnert2018,WISCONSIN,FortAtkinson,17.2B24,Dahnert,DA,ORG4,2018,1,Green,Mixed,NA,Low,Medium,Low,Absent,85.1
Dahnert2018,WISCONSIN,FortAtkinson,17.461,Dahnert,DA,ORG1,2018,1,Green,Mixed,NA,Low,Medium,Low,Absent,81.3
Dahnert2018,WISCONSIN,FortAtkinson,NG10 x MBS5507,Dahnert,DA,ORG19,2018,1,Green,Mixed,NA,Low,Medium,Low,Absent,75.4
Dahnert2018,WISCONSIN,FortAtkinson,FOS8507,Dahnert,DA,CHECK2,2018,1,Green,Mixed,NA,Low,Medium,Low,Absent,82.4
Dahnert2018,WISCONSIN,FortAtkinson,M9 x NG10-2-3-2,Dahnert,DA,ORG18,2018,1,Green,Mixed,NA,Low,Medium,Low,Absent,55
Dahnert2018,WISCONSIN,FortAtkinson,461.2B24_Inoc,Dahnert,DA,ORG2_Inoc,2018,1,Green,Mixed,NA,Low,Medium,Low,Absent,71.8
Dahnert2018,WISCONSIN,FortAtkinson,461.2B24,Dahnert,DA,ORG2,2018,1,Green,Mixed,NA,Low,Medium,Low,Absent,84.3
Stoltzfus2018,WISCONSIN,Fayette,461.2B24,Stoltzfus,MS,ORG2,2018,1,Mix,Mixed,NA,Low,Medium,High,Present,157.4
Stoltzfus2018,WISCONSIN,Fayette,461.2B24_Inoc,Stoltzfus,MS,ORG2_Inoc,2018,1,Mix,Mixed,NA,Low,Medium,High,Present,125.3
Stoltzfus2018,WISCONSIN,Fayette,FOS8507,Stoltzfus,MS,CHECK2,2018,1,Mix,Mixed,NA,Low,Medium,High,Present,207.2
Stoltzfus2018,WISCONSIN,Fayette,M9 x NG10-2-3-2,Stoltzfus,MS,ORG18,2018,1,Mix,Mixed,NA,Low,Medium,High,Present,149.6
Stoltzfus2018,WISCONSIN,Fayette,NG10 x MBS5507,Stoltzfus,MS,ORG19,2018,1,Mix,Mixed,NA,Low,Medium,High,Present,158.4
Stoltzfus2018,WISCONSIN,Fayette,9.2)15 x NG10-2-3-2,Stoltzfus,MS,ORG8,2018,1,Mix,Mixed,NA,Low,Medium,High,Present,83.1
Stoltzfus2018,WISCONSIN,Fayette,17.2B24,Stoltzfus,MS,ORG4,2018,1,Mix,Mixed,NA,Low,Medium,High,Present,177
Stoltzfus2018,WISCONSIN,Fayette,17.461,Stoltzfus,MS,ORG1,2018,1,Mix,Mixed,NA,Low,Medium,High,Present,174.7
Zinniker2018,WISCONSIN,Lafayette,461.2B24,Zinniker,MZ,ORG2,2018,1,Mix,Mixed,NA,Low,Low,Low,Present,125.1
Zinniker2018,WISCONSIN,Lafayette,17.2B24,Zinniker,MZ,ORG4,2018,1,Mix,Mixed,NA,High,Low,Low,Present,189.2
Zinniker2018,WISCONSIN,Lafayette,M9 x NG10-2-3-2,Zinniker,MZ,ORG18,2018,1,Mix,Mixed,NA,High,Low,Low,Present,158.1
Zinniker2018,WISCONSIN,Lafayette,NG10 x MBS5507,Zinniker,MZ,ORG19,2018,1,Mix,Mixed,NA,Medium,Low,Low,Present,181.4
Zinniker2018,WISCONSIN,Lafayette,9.2)15 x NG10-2-3-2,Zinniker,MZ,ORG8,2018,1,Mix,Mixed,NA,Low,Low,Low,Present,61.7
Zinniker2018,WISCONSIN,Lafayette,FOS8507,Zinniker,MZ,CHECK2,2018,1,Mix,Mixed,NA,Medium,Low,Low,Present,209.6
Zinniker2018,WISCONSIN,Lafayette,17.461,Zinniker,MZ,ORG1,2018,1,Mix,Mixed,NA,Medium,Low,Low,Present,185.1
Adsit2019,WI,EastTroy,NG10-2-3-2 x Md1,Adsit,GA,ORG20,2019,1,Mix,Grass,NA,Low,Low,Low,Present,9.8
Adsit2019,WI,EastTroy,C4-6 x 9.2)11,Adsit,GA,ORG14,2019,1,Mix,Grass,NA,High,Low,Low,Present,14.9
Adsit2019,WI,EastTroy,AR21B x NG.591,Adsit,GA,ORG9,2019,1,Mix,Grass,NA,Low,Low,Low,Present,6.2
Adsit2019,WI,EastTroy,C2B24-1-7.C46,Adsit,GA,ORG11,2019,1,Mix,Grass,NA,Low,Low,Low,Present,59.6
Adsit2019,WI,EastTroy,17.C2B24-1-7,Adsit,GA,ORG4,2019,1,Mix,Grass,NA,Low,Low,Low,Present,97.4
Adsit2019,WI,EastTroy,C2B2-4-2-1.C46,Adsit,GA,ORG12,2019,1,Mix,Grass,NA,Low,Low,Low,Present,65.1
Adsit2019,WI,EastTroy,15.C4-6,Adsit,GA,ORG3,2019,1,Mix,Grass,NA,Low,Low,Low,Present,50.1
Adsit2019,WI,EastTroy,FOS8500,Adsit,GA,CHECK3,2019,1,Mix,Grass,NA,Low,Low,Low,Present,77.2
Adsit2019,WI,EastTroy,17.461,Adsit,GA,ORG1,2019,1,Mix,Grass,NA,Low,Low,Low,Present,74
Anibas2019,WI,Arkansaw,NG10-2-3-2 x Md1,Anibas,AN,ORG20,2019,1,Mix,Grass,NA,Medium,Medium,Low,Present,126.1
Anibas2019,WI,Arkansaw,C2B2-7.C4-6,Anibas,AN,ORG11,2019,1,Mix,Grass,NA,Medium,Medium,Low,Present,105.2
Anibas2019,WI,Arkansaw,C4-6 x 9.2)11,Anibas,AN,ORG14,2019,1,Mix,Grass,NA,Medium,Medium,Low,Present,105.4
Anibas2019,WI,Arkansaw,C2B2-1.C4-6,Anibas,AN,ORG10,2019,1,Mix,Grass,NA,High,Medium,Low,Present,109.6
Anibas2019,WI,Arkansaw,FOS8500,Anibas,AN,CHECK3,2019,1,Mix,Grass,NA,Medium,Medium,Low,Present,138.4
Anibas2019,WI,Arkansaw,17.2B24,Anibas,AN,ORG4,2019,1,Mix,Grass,NA,High,Medium,Low,Present,121.4
Anibas2019,WI,Arkansaw,17.461,Anibas,AN,ORG1,2019,1,Mix,Grass,NA,High,Medium,Low,Present,121.5
Anibas2019,WI,Arkansaw,15.C4-6,Anibas,AN,ORG3,2019,1,Mix,Grass,NA,Medium,Medium,Low,Present,111.9
Anibas2019,WI,Arkansaw,15.C4-6,Anibas,AN,ORG3,2019,1,Mix,Grass,NA,Low,Medium,Low,Present,153.6
Beiler2019,WI,Rewey,FOS8500,Beiler,MB,CHECK3,2019,1,Animal,None,NA,Medium,Medium,Low,Present,158
Beiler2019,WI,Rewey,NG10-2-3-2 x Md1,Beiler,MB,ORG20,2019,1,Animal,None,NA,Medium,Medium,Low,Present,148.8
